id;start_date;end_date;language
1;2020-02-25T04:49:00;2020-02-25T02:39:15;INDONESIAN
2;2020-02-24T09:39:11;2020-02-25T04:43:36;INDONESIAN
3;2020-02-25T00:34:30;2020-02-24T11:08:39;ENGLISH
4;2020-02-24T15:52:01;2020-02-25T03:23:27;ENGLISH
5;2020-02-25T01:22:19;2020-02-25T06:09:18;ENGLISH
6;2020-02-24T19:14:40;2020-02-25T07:22:54;ENGLISH
7;2020-02-24T21:00:00;2020-02-24T14:50:51;ENGLISH
8;2020-02-24T19:56:13;2020-02-25T06:12:21;INDONESIAN
9;2020-02-24T18:37:22;2020-02-24T15:18:45;INDONESIAN
10;2020-02-25T02:49:26;2020-02-24T13:23:56;INDONESIAN
